City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Narsaq,GL,60.9167,-46.05,64.62,68,6,6.46,clear sky
263,Lohja,FI,60.2486,24.0653,82.67,51,66,6.87,broken clouds
264,Upernavik,GL,72.7868,-56.1549,46.45,85,100,4.92,overcast clouds
265,Prince Rupert,CA,54.3161,-130.3201,55.49,87,100,4.61,overcast clouds
266,Diamantino,BR,-14.4086,-56.4461,93.51,22,6,9.46,clear sky
267,Centralia,US,46.7162,-122.9543,61.95,68,100,3.44,mist
268,Luena,AO,-11.7833,19.9167,80.78,61,40,8.05,scattered clouds
269,Ca Mau,VN,9.1769,105.15,75.81,92,75,3.94,broken clouds
270,Haapiti,PF,-17.5667,-149.8667,69.53,71,18,8.25,few clouds
271,Kebomas,ID,-7.1667,112.6333,80.17,80,48,2.24,scattered clouds
272,Hovd,MN,48.0056,91.6419,64.92,43,83,2.86,broken clouds
273,Puerto Escondido,MX,15.85,-97.0667,86.32,64,99,3.74,overcast clouds
274,Bandarbeyla,SO,9.4942,50.8122,76.39,80,98,31.12,overcast clouds
275,Yerbogachen,RU,61.2767,108.0108,58.35,77,100,4.05,overcast clouds
276,Alamogordo,US,32.8995,-105.9603,91.56,29,0,5.75,clear sky
277,Porto Novo,BJ,6.4965,2.6036,82.22,67,78,11.86,broken clouds
278,Tura,IN,25.5198,90.2201,75.88,95,100,3.6,overcast clouds
279,Phuntsholing,BT,26.8516,89.3884,79.23,91,100,3.44,overcast clouds
280,Saldanha,ZA,-33.0117,17.9442,60.85,71,38,10.31,scattered clouds
281,Aklavik,CA,68.2191,-135.0107,55.4,94,100,0.0,light rain
282,Neryungri,RU,56.6709,124.6491,58.96,94,96,0.83,overcast clouds
283,Pisco,PE,-13.7,-76.2167,63.01,77,100,4.61,smoke
284,Mulhouse,FR,47.6667,7.4167,86.61,37,0,5.75,clear sky
285,Bogovina,RS,43.895,21.9403,96.51,20,0,8.79,clear sky
286,Port Blair,IN,11.6667,92.75,80.64,89,100,2.3,mist
287,Saquarema,BR,-22.92,-42.5103,77.14,65,11,12.75,few clouds
288,Wanaka,NZ,-44.7,169.15,25.54,90,12,3.42,few clouds
289,Caravelas,BR,-17.7125,-39.2481,78.19,62,1,8.59,clear sky
290,Axim,GH,4.8699,-2.2405,78.51,60,50,8.86,scattered clouds
291,Pacific Grove,US,36.6177,-121.9166,57.42,96,100,10.0,mist
292,Mafinga,TZ,-7.25,35.0667,75.18,37,40,11.52,scattered clouds
293,Hambantota,LK,6.1241,81.1185,79.14,94,40,6.91,light rain
294,Kirakira,SB,-10.4544,161.9205,79.27,85,40,4.5,scattered clouds
295,Havre,FR,49.5833,0.3333,77.34,77,75,10.36,broken clouds
296,Sechura,PE,-5.5569,-80.8222,68.61,64,63,12.17,broken clouds
297,Tam Ky,VN,15.5667,108.4833,78.12,88,58,3.96,broken clouds
298,Ibotirama,BR,-12.1853,-43.2206,88.3,22,7,5.84,clear sky
299,Aguililla,MX,18.7333,-102.7333,77.11,74,15,3.31,few clouds
300,Krasnaya Gorbatka,RU,55.8703,41.7641,58.78,95,97,9.6,overcast clouds
301,Vila Velha,BR,-20.3297,-40.2925,78.75,80,75,12.66,broken clouds
302,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,8.05,broken clouds
303,Methven,NZ,-43.6333,171.65,34.02,90,70,3.0,broken clouds
304,Gogrial,SS,8.5332,28.1004,77.56,75,100,4.03,overcast clouds
305,Iralaya,HN,15.0,-83.2333,84.22,68,9,9.53,clear sky
306,Angoram,PG,-4.0625,144.0661,73.71,97,98,1.79,overcast clouds
307,Altay,CN,47.8667,88.1167,63.32,57,100,6.08,overcast clouds
308,Eyl,SO,7.9803,49.8164,77.59,73,99,26.42,overcast clouds
309,Ancud,CL,-41.8697,-73.8203,41.23,79,100,13.06,light rain
310,Vung Tau,VN,10.346,107.0843,78.19,86,86,7.27,overcast clouds
311,Guerrero Negro,MX,27.9769,-114.0611,72.25,69,71,13.15,broken clouds
312,Faanui,PF,-16.4833,-151.75,76.71,75,17,12.8,few clouds
313,Changji,CN,44.0167,87.3167,83.19,24,0,4.47,clear sky
314,Saint George,US,37.1041,-113.5841,94.78,23,0,5.75,clear sky
315,Dudinka,RU,69.4058,86.1778,58.62,84,33,3.96,scattered clouds
316,Sarandi,BR,-23.4436,-51.8739,76.55,53,0,16.11,clear sky
317,Fort Nelson,CA,58.8053,-122.7002,54.99,82,75,3.44,broken clouds
318,Bocas Del Toro,PA,9.3333,-82.25,80.38,78,96,9.55,overcast clouds
319,Hvide Sande,DK,56.0045,8.1294,62.1,79,92,18.66,overcast clouds
320,Kieta,PG,-6.2167,155.6333,79.81,78,96,3.2,overcast clouds
321,Makakilo City,US,21.3469,-158.0858,75.0,79,0,12.66,clear sky
322,Zhuhai,CN,22.2769,113.5678,85.78,84,20,5.75,few clouds
323,Paamiut,GL,61.994,-49.6678,46.92,88,73,5.64,broken clouds
324,Dangriga,BZ,16.9692,-88.2321,82.35,82,20,10.2,few clouds
325,Kon Tum,VN,14.35,108.0,70.11,98,98,0.36,light rain
326,Nuuk,GL,64.1835,-51.7216,61.41,59,75,16.11,broken clouds
327,Sabya,SA,17.1495,42.6254,91.02,56,90,11.14,overcast clouds
328,Vallenar,CL,-28.5708,-70.7581,60.58,71,26,3.4,scattered clouds
329,Larsnes,NO,62.2028,5.5773,60.44,81,89,6.78,overcast clouds
330,Bodden Town,KY,19.2833,-81.25,87.8,70,20,9.22,few clouds
331,Acarau,BR,-2.8856,-40.12,87.91,51,66,8.97,broken clouds
332,Saint-Augustin,CA,51.226,-58.6502,75.45,43,36,14.52,scattered clouds
333,Olafsvik,IS,64.8945,-23.7142,52.3,78,92,2.33,overcast clouds
334,Praia Da Vitoria,PT,38.7333,-27.0667,79.05,65,20,2.1,few clouds
335,Sur,OM,22.5667,59.5289,89.33,65,99,9.91,overcast clouds
336,Gold Coast,AU,-28.0,153.4333,62.24,96,100,25.37,light rain
337,Kwidzyn,PL,53.7249,18.9311,92.26,41,13,9.89,few clouds
338,Wanning,CN,18.8003,110.3967,80.38,87,83,6.53,broken clouds
339,Nanhai,CN,30.1282,111.7784,80.38,92,99,6.08,overcast clouds
340,Ahuimanu,US,21.4447,-157.8378,76.19,84,20,12.66,light rain
341,Amos,CA,48.5669,-78.1162,65.17,99,100,11.52,overcast clouds
342,Dronninglund,DK,57.1604,10.2929,75.78,61,98,8.12,overcast clouds
343,Kingman,US,35.1894,-114.053,95.54,14,74,4.0,broken clouds
344,Deputatskiy,RU,69.3,139.9,37.65,89,3,4.7,clear sky
345,Brownsville,US,25.9018,-97.4975,91.09,64,75,20.71,broken clouds
346,Yelizovo,RU,53.1873,158.3805,59.14,100,100,4.47,overcast clouds
