City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Kuusamo,FI,75.24,clear sky,65.9667,29.1833,Hotel Kuusanka
559,Lishui,CN,79.7,overcast clouds,28.4604,119.9103,Bayi Hotel
563,Halifax,CA,85.51,broken clouds,44.6453,-63.5724,Hotel Halifax
564,Wallaceburg,CA,86.11,clear sky,42.593,-82.3885,Wallaceburg Inn
566,Veraval,IN,81.88,light rain,20.9,70.3667,Lords Inn Somnath
571,Namatanai,PG,78.8,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
572,Tezu,IN,77.43,moderate rain,27.9167,96.1667,Circuit House
573,Kearney,US,85.57,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
574,Davila,PH,80.58,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
575,Cienfuegos,CU,88.57,clear sky,22.1461,-80.4356,Casa Claumar B2BPay
578,Fare,PF,76.17,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
580,Inirida,CO,81.0,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
586,Ise,JP,78.12,broken clouds,34.4833,136.7,Ise Fresh
589,San Policarpo,PH,81.91,clear sky,12.1791,125.5072,Agapita M. Nicart
591,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
592,Hirara,JP,84.92,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
593,Nanakuli,US,75.45,scattered clouds,21.3906,-158.1547,Camp Pālehua
594,Umred,IN,80.89,light rain,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
596,Yagoua,CM,87.24,scattered clouds,10.3411,15.2329,Sahel Hotel
598,Iisalmi,FI,77.85,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
605,Nanga Eboko,CM,76.01,light rain,4.6833,12.3667,Motel Papi Palace
606,Artyom,AZ,78.94,clear sky,40.4723,50.333,Pir hos
607,Takoradi,GH,78.3,scattered clouds,4.8845,-1.7554,Raybow International Hotel
610,Bakel,SN,79.12,light rain,14.905,-12.4568,Ablaye Diallo Bakel
611,Laguna,US,84.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
612,Pangai,TO,76.69,clear sky,-19.8,-174.35,Ha'apai Beach Resort
615,Calabozo,VE,83.08,broken clouds,8.9242,-67.4293,Hotel Giardini
617,Surt,LY,81.84,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
621,Anderson,US,82.26,light rain,34.5334,-82.6499,The Bleckley Inn
622,Tottori,JP,75.94,few clouds,35.5,134.2333,Hotel Monarque Tottori
623,Maryville,US,81.12,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
624,Ternate,ID,79.97,light rain,0.8,127.4,Sahid Bela Ternate Hotel
625,Valente,BR,78.37,overcast clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
631,Tautira,PF,75.13,light rain,-17.7333,-149.15,Pension Oaoa
632,Tarragona,ES,88.39,few clouds,41.129,1.249,Hotel SB Ciutat de Tarragona
635,Malindi,KE,75.16,clear sky,-3.2175,40.1191,African House Resort
636,Basco,PH,85.26,clear sky,20.4487,121.9702,Nathaniel's Lodge
638,Hanchuan,CN,81.68,broken clouds,30.65,113.7667,Yuesehe Resort
639,Suluq,LY,85.23,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
642,Yenagoa,NG,80.1,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
644,Cavalcante,BR,82.35,scattered clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
645,Limbang,MY,82.51,overcast clouds,4.75,115.0,Purnama Hotel
647,Hakui,JP,75.69,overcast clouds,36.8833,136.7833,KYUKAMURA NOTO-CHIRIHAMA
652,Phangnga,TH,82.44,overcast clouds,8.4509,98.5298,Sunimit Mansion
653,Esmeraldas,BR,79.79,clear sky,-19.7625,-44.3139,Forasteiro Pousada
654,Seredka,RU,76.75,clear sky,58.1584,28.1858,Lesnoy Oazis
655,Marsh Harbour,BS,83.32,clear sky,26.5412,-77.0636,Abaco Beach Resort
656,Ewa Beach,US,75.43,scattered clouds,21.3156,-158.0072,Base Lodging
658,Portsmouth,GB,76.17,overcast clouds,50.799,-1.0913,Royal Beach Hotel
660,Sabang,ID,83.28,moderate rain,5.8933,95.3214,Hotel Citra
662,Puqi,CN,82.24,broken clouds,29.7167,113.8833,Ramada Plaza Chibi
664,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
666,Lazaro Cardenas,MX,86.86,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
667,Nishihara,JP,83.48,scattered clouds,26.1842,127.7558,Minshuku Agaihama
668,Notre-Dame-Du-Lac,CA,81.88,overcast clouds,47.6136,-68.7964,Auberge La Dolce Vita
673,Kedgwick,CA,76.5,overcast clouds,47.6446,-67.3434,A la Belle Etoile
674,Pundaguitan,PH,81.63,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
675,Sao Paulo De Olivenca,BR,83.5,broken clouds,-3.3783,-68.8725,
677,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
679,Kavaratti,IN,80.96,overcast clouds,10.5669,72.642,Green leaf
684,Myslenice,PL,89.98,clear sky,49.8338,19.9383,Black & White
688,Lagos,NG,79.86,overcast clouds,6.5833,3.75,
689,Sulangan,PH,84.72,overcast clouds,11.1373,123.7228,Maia's Beach Resort
